userWallet,total_tx_count,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_amount_deposited,total_amount_borrowed,total_amount_repaid,total_usd_value,avg_time_gap,num_unique_assets,repay_borrow_ratio,log_total_usd,credit_score,score_bucket
0x0360b9acda197703cb3040715c75659c38f13cf7,3,3,0,0,0,0,1.709e+21,0.0,0.0,2.008106435501463e+21,935199.5,1,0.0,49.05147915902751,,
0x036161ee78969e00d3ea480f2139357fd77247ac,52,14,15,11,12,0,3.577493616187185e+21,1.6363736263466949e+22,1.6365547071194612e+22,2.5256961328133603e+23,100000.29411764706,6,1.0001106597966691,53.88597385975688,,
0x03630da783ae465b0afb812f7bc6374d677b0829,24,9,6,8,1,0,1.539036096514491e+17,503447000.0,506203249.0,5.036585800441676e+20,224126.39130434784,4,1.0054747550387608,47.66843029186393,,
0x0364fd4f4a4adb95ce6566c794f6244ca87943d7,4,3,0,0,1,0,2.5000000001e+18,0.0,0.0,3.9711656235125253e+18,2501063.0,3,0.0,42.82559133343521,,
0x0365ad837b20583a235b652cfce03987561c9948,53,38,9,1,5,0,1.267689073021321e+21,5.610181534669393e+20,74774020.0,2.1690440319225013e+21,111098.5,6,1.332827102615431e-13,49.12857348507727,,
0x0366521285f902c5b10a6f1ace37a70d68e0e0bf,26,19,3,1,3,0,5.274677058618868e+20,1005147733.0,405875777.0,1.420258567758097e+21,114058.8,6,0.4037971371517779,48.705125897882255,,
0x036808e8efef543ac49c40a2b6d98f8f36798a91,144,31,43,30,40,0,8.793133589126442e+22,1.9623319590000007e+24,1.1510625884042262e+21,6.540734616503383e+24,8102.517482517483,7,0.0005865789338674404,57.14009171770051,,
0x0369a18568f22c77ec0780cb9b79402e64fe8b89,25,14,5,2,4,0,4.792343705935059e+20,255000000.0,41000000.0,1.6085795970757915e+21,121237.66666666667,6,0.16078431372548957,48.82963850462936,,
0x036a310b351f1d24dc5891a9f7ddc1e42ced51fd,120,57,32,15,16,0,8.666240566105978e+20,3699000000.0,1684455844.0,3.384833428472261e+21,55840.033613445376,7,0.45538141227358736,49.57359164930529,,
0x036ac8829034821015a1181efb8f8e4357af3df6,3,2,1,0,0,0,1.4145e+16,1000.0,0.0,1.835642969317103e+16,24.0,3,0.0,37.44875630003675,,
0x036cedec201095f375e6d1aff69b74a2d9b7d0c8,4,0,0,0,4,0,0.0,0.0,0.0,9.405851479498219e+20,419229.3333333333,2,0.0,48.293033853304436,,
0x036da3aa7d31181bf0fb4f0bc128b04a7bdcc08d,4,1,1,1,1,0,4.83e+21,3.5e+17,3.5e+17,7.570469792259062e+21,70.66666666666667,2,1.0,50.37854207814229,,
0x036dbbd11bf2958377e459cb75fec9bb9944785a,47,22,3,3,19,0,1.1977809375117016e+21,5.000000000038e+19,380424318.0,3.136509749436339e+21,206680.21739130435,8,7.608486359942175e-12,49.49739758980558,,
0x036dce7f98c0a17da43db21d522969ea009fd301,3,2,0,0,1,0,1.8300000097e+18,0.0,0.0,1.1861883001347784e+18,1053820.0,2,0.0,41.61727673095085,,
0x036e1218a711ea2186f6413b16e373c1c1ff1a5a,12,6,0,0,6,0,3.0214021903435825e+21,0.0,0.0,6.192554562626677e+21,29053.727272727272,3,0.0,50.177634646299744,,
0x036ea8e17701bbb41fd0b9bfb36bce98d0baefda,4,3,0,0,1,0,1.0000000013935546e+19,0.0,0.0,2.832155284799087e+22,1175804.0,4,0.0,51.69791005240032,,
0x036fcf32222c17667b562b427acb2bcd737a0db9,4,1,1,1,1,0,5.4e+21,700000000.0,700000000.0,8.043446231609555e+21,26.666666666666668,2,0.9999999999999987,50.4391445800001,,
